joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,tcp_rx,tcp_ry,tcp_rz,tcp_x,tcp_y,tcp_z,timestamp
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.342,-27.02,19.084,-445.642,-110.806,271.047,0.0
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.642,-110.804,271.041,0.101
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.807,271.044,0.202
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.044,0.302
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.044,0.403
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.042,0.505
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.644,-110.805,271.042,0.606
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.644,-110.805,271.042,0.707
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.041,0.807
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.806,271.044,0.908
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.642,-110.805,271.041,1.009
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.042,1.11
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.042,1.21
-6.598,-88.278,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.643,-110.805,271.044,1.311
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.639,-110.807,271.039,1.412
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.807,271.041,1.513
-6.598,-88.277,139.973,-111.675,-88.768,67.284,166.341,-27.02,19.084,-445.641,-110.806,271.041,1.613
-6.598,-88.278,139.972,-111.676,-88.769,67.284,166.342,-27.02,19.084,-445.646,-110.805,271.046,1.715
-6.598,-88.278,139.968,-111.68,-88.767,67.284,166.345,-27.011,19.081,-445.707,-110.799,271.087,1.816
-6.598,-88.28,139.912,-111.894,-88.764,67.284,166.475,-26.765,19.021,-446.843,-110.673,271.669,1.916
-6.599,-88.281,139.433,-112.445,-88.763,67.284,166.968,-25.834,18.802,-453.285,-109.929,275.589,2.017
-6.599,-88.282,138.274,-112.823,-88.765,67.284,167.695,-24.443,18.494,-466.301,-108.419,284.498,2.118
-6.599,-88.284,136.739,-112.821,-88.763,67.284,168.401,-23.052,18.209,-481.976,-106.609,296.236,2.219
-6.598,-88.286,135.001,-112.817,-88.765,67.284,169.184,-21.474,17.913,-499.34,-104.6,310.034,2.32
-6.598,-88.292,133.178,-112.812,-88.765,67.284,169.989,-19.813,17.629,-517.076,-102.547,325.095,2.421
-6.598,-88.297,131.365,-112.808,-88.765,67.284,170.773,-18.157,17.375,-534.244,-100.563,340.633,2.521
-6.598,-88.3,129.577,-112.809,-88.765,67.284,171.532,-16.518,17.148,-550.704,-98.659,356.472,2.622
-6.598,-88.299,127.858,-112.808,-88.766,67.284,172.248,-14.945,16.954,-566.07,-96.881,372.155,2.723
-6.598,-88.301,126.182,-112.809,-88.766,67.284,172.937,-13.405,16.786,-580.585,-95.202,387.899,2.825
-6.598,-88.3,124.772,-112.809,-88.764,67.284,173.508,-12.11,16.659,-592.439,-93.836,401.452,2.925
-6.598,-88.302,123.373,-112.81,-88.764,67.284,174.071,-10.821,16.548,-603.876,-92.516,415.213,3.026
-6.597,-88.302,121.956,-112.811,-88.764,67.284,174.636,-9.518,16.448,-615.109,-91.219,429.409,3.127
-6.597,-88.301,120.503,-112.815,-88.761,67.284,175.21,-8.177,16.36,-626.278,-89.936,444.255,3.228
-6.597,-88.301,118.968,-112.813,-88.762,67.284,175.812,-6.765,16.282,-637.652,-88.623,460.24,3.329
-6.597,-88.301,117.458,-112.812,-88.763,67.284,176.403,-5.374,16.219,-648.419,-87.373,476.263,3.429
-6.597,-88.304,115.966,-112.813,-88.761,67.284,176.982,-3.994,16.172,-658.636,-86.197,492.407,3.53
-6.597,-88.309,114.433,-112.813,-88.761,67.284,177.578,-2.575,16.138,-668.681,-85.036,509.287,3.631
-6.597,-88.31,112.82,-112.814,-88.762,67.284,178.203,-1.087,16.118,-678.777,-83.864,527.287,3.732
-6.597,-88.313,111.139,-112.815,-88.762,67.284,178.854,0.468,16.114,-688.757,-82.707,546.376,3.833
-6.597,-88.315,109.416,-112.813,-88.763,67.284,179.52,2.057,16.129,-698.407,-81.589,566.21,3.933
-6.597,-88.32,107.626,-112.813,-88.763,67.284,-179.785,3.713,16.164,-707.775,-80.503,587.16,4.035
-6.597,-88.321,106.21,-112.813,-88.763,67.284,-179.234,5.019,16.205,-714.751,-79.696,603.897,4.136
-6.597,-88.321,104.981,-112.813,-88.763,67.284,-178.756,6.151,16.252,-720.468,-79.038,618.546,4.236
-6.597,-88.321,103.79,-112.814,-88.762,67.284,-178.29,7.25,16.307,-725.71,-78.438,632.869,4.337
-6.597,-88.323,102.46,-112.814,-88.762,67.284,-177.766,8.477,16.379,-731.199,-77.805,649.017,4.438
-6.597,-88.344,100.987,-112.812,-88.762,67.284,-177.175,9.85,16.473,-736.683,-77.173,667.266,4.539
-6.597,-88.385,99.492,-112.812,-88.762,67.284,-176.562,11.262,16.585,-741.594,-76.605,686.188,4.64
-6.596,-88.437,98.077,-112.812,-88.762,67.284,-175.97,12.61,16.708,-745.65,-76.138,704.392,4.741
-6.596,-88.49,96.754,-112.812,-88.762,67.284,-175.409,13.873,16.836,-748.983,-75.753,721.585,4.841
-6.596,-88.531,95.449,-112.812,-88.763,67.284,-174.854,15.108,16.975,-751.987,-75.404,738.48,4.942
-6.597,-88.549,94.178,-112.812,-88.763,67.284,-174.317,16.288,17.12,-754.744,-75.082,754.728,5.043
-6.597,-88.557,92.761,-112.812,-88.763,67.284,-173.715,17.592,17.295,-757.512,-74.758,772.762,5.144
-6.597,-88.577,91.455,-112.811,-88.764,67.284,-173.147,18.803,17.472,-759.535,-74.523,789.605,5.244
-6.597,-88.624,90.245,-112.81,-88.765,67.284,-172.602,19.948,17.653,-760.754,-74.381,805.613,5.345
-6.597,-88.68,89.151,-112.81,-88.766,67.284,-172.095,20.997,17.83,-761.404,-74.301,820.314,5.446
-6.597,-88.779,88.208,-112.81,-88.766,67.284,-171.631,21.944,18.0,-761.16,-74.327,833.649,5.547
-6.597,-88.978,87.382,-112.811,-88.766,67.284,-171.167,22.875,18.176,-759.458,-74.52,846.807,5.648
-6.597,-89.169,86.613,-112.811,-88.767,67.284,-170.726,23.747,18.35,-757.58,-74.735,859.146,5.748
-6.598,-89.284,85.781,-112.811,-88.768,67.284,-170.286,24.604,18.529,-756.425,-74.863,871.289,5.849
-6.597,-89.351,84.898,-112.812,-88.769,67.284,-169.838,25.464,18.719,-755.655,-74.954,883.481,5.95
-6.598,-89.413,83.937,-112.811,-88.771,67.284,-169.348,26.387,18.932,-754.726,-75.052,896.593,6.051
-6.598,-89.534,82.991,-112.81,-88.771,67.284,-168.831,27.347,19.165,-752.824,-75.269,910.258,6.152
-6.599,-89.739,82.117,-112.811,-88.773,67.284,-168.297,28.318,19.413,-749.644,-75.628,924.089,6.252
-6.598,-89.938,81.386,-112.81,-88.775,67.284,-167.829,29.151,19.638,-746.421,-76.003,935.971,6.353
-6.598,-90.073,80.761,-112.81,-88.775,67.284,-167.441,29.833,19.829,-743.977,-76.283,945.683,6.454
-6.599,-90.218,80.235,-112.81,-88.776,67.284,-167.093,30.433,20.001,-741.402,-76.567,954.238,6.555
-6.599,-90.507,79.699,-112.81,-88.781,67.284,-166.658,31.168,20.222,-736.76,-77.097,964.722,6.656
-6.599,-90.781,79.159,-112.81,-88.787,67.284,-166.22,31.892,20.448,-732.158,-77.619,975.042,6.757
-6.599,-91.041,78.756,-112.809,-88.787,67.284,-165.862,32.481,20.637,-727.864,-78.112,983.405,6.858
-6.599,-91.332,78.428,-112.81,-88.795,67.284,-165.518,33.028,20.819,-723.181,-78.637,991.178,6.959
-6.599,-91.628,78.245,-112.809,-88.8,67.284,-165.249,33.451,20.963,-718.643,-79.152,997.143,7.059
-6.599,-91.947,77.934,-112.809,-88.802,67.284,-164.897,34.008,21.158,-713.446,-79.751,1004.979,7.16
-6.599,-92.28,77.592,-112.808,-88.833,67.284,-164.488,34.592,21.37,-707.889,-80.336,1013.338,7.261
-6.599,-92.645,77.314,-112.808,-88.837,67.284,-164.117,35.158,21.58,-701.923,-81.022,1021.237,7.362
-6.6,-92.991,77.088,-112.808,-88.88,67.284,-163.748,35.646,21.767,-696.267,-81.588,1028.219,7.463
-6.6,-93.346,77.074,-112.805,-88.919,67.284,-163.499,35.953,21.888,-690.99,-82.127,1032.596,7.563
-6.6,-93.636,77.073,-112.806,-88.929,67.284,-163.319,36.205,21.987,-686.698,-82.606,1036.016,7.664
-6.6,-93.875,77.075,-112.805,-88.927,67.284,-163.18,36.414,22.071,-683.145,-83.021,1038.797,7.765
-6.6,-94.098,77.074,-112.805,-88.929,67.284,-163.045,36.61,22.15,-679.814,-83.403,1041.406,7.866
-6.6,-94.24,77.073,-112.806,-88.929,67.284,-162.958,36.735,22.202,-677.695,-83.648,1043.061,7.967
-6.6,-94.325,77.073,-112.807,-88.93,67.284,-162.906,36.81,22.232,-676.418,-83.791,1044.05,8.068
-6.599,-94.377,77.075,-112.805,-88.929,67.284,-162.877,36.854,22.25,-675.644,-83.888,1044.623,8.169
-6.6,-94.375,77.078,-112.803,-88.929,67.284,-162.881,36.848,22.248,-675.678,-83.878,1044.565,8.27
-6.6,-94.375,77.079,-112.802,-88.928,67.284,-162.883,36.846,22.247,-675.69,-83.881,1044.541,8.371
-6.6,-94.375,77.078,-112.784,-88.929,67.284,-162.893,36.83,22.241,-675.677,-83.879,1044.504,8.471
-6.6,-94.376,77.077,-112.784,-88.929,67.284,-162.892,36.833,22.241,-675.66,-83.884,1044.531,8.572
-6.6,-94.377,77.077,-112.785,-88.929,67.284,-162.891,36.834,22.242,-675.649,-83.884,1044.545,8.673
-6.6,-94.377,77.077,-112.784,-88.93,67.284,-162.891,36.833,22.242,-675.647,-83.883,1044.541,8.773
-6.6,-94.376,77.078,-112.783,-88.929,67.284,-162.892,36.831,22.241,-675.662,-83.882,1044.52,8.874
-6.6,-94.376,77.078,-112.783,-88.928,67.284,-162.894,36.83,22.24,-675.674,-83.883,1044.505,8.975
-6.599,-94.375,77.079,-112.783,-88.928,67.284,-162.895,36.829,22.24,-675.687,-83.884,1044.492,9.076
-6.6,-94.376,77.078,-112.783,-88.929,67.284,-162.893,36.83,22.24,-675.671,-83.879,1044.507,9.177
-6.6,-94.375,77.079,-112.782,-88.935,67.284,-162.89,36.825,22.239,-675.691,-83.868,1044.479,9.277
-6.6,-94.371,77.086,-112.781,-88.934,67.284,-162.898,36.816,22.235,-675.765,-83.862,1044.351,9.378
-6.599,-94.368,77.093,-112.781,-88.932,67.284,-162.906,36.806,22.231,-675.836,-83.859,1044.22,9.479
-6.599,-94.363,77.108,-112.778,-88.932,67.284,-162.92,36.787,22.223,-675.948,-83.847,1043.97,9.58
-6.599,-94.353,77.151,-112.762,-88.93,67.284,-162.963,36.727,22.198,-676.223,-83.818,1043.278,9.681
-6.599,-94.337,77.203,-112.751,-88.929,67.284,-163.012,36.658,22.171,-676.603,-83.78,1042.412,9.781
-6.599,-94.319,77.218,-112.748,-88.928,67.284,-163.034,36.627,22.158,-676.922,-83.747,1042.004,9.882
-6.599,-94.299,77.229,-112.746,-88.927,67.284,-163.054,36.599,22.146,-677.247,-83.711,1041.64,9.983
-6.599,-94.266,77.243,-112.744,-88.927,67.284,-163.083,36.556,22.128,-677.781,-83.646,1041.074,10.083
-6.599,-94.19,77.245,-112.744,-88.928,67.284,-163.129,36.488,22.101,-678.912,-83.516,1040.175,10.184
-6.599,-94.102,77.246,-112.744,-88.927,67.284,-163.183,36.409,22.07,-680.236,-83.363,1039.13,10.285
-6.599,-94.096,77.245,-112.745,-88.928,67.284,-163.184,36.406,22.068,-680.316,-83.357,1039.087,10.386
